"Date","Price (Close)","Circulating Marketcap","Realized Marketcap"
"2021-06-18","35779.21793898078","714139981244.5037","369232340802.44745"
"2021-06-17","38089.85951422869","718804855985.9321","369583683017.1768"
"2021-06-16","38923.610512360334","752548671831.9778","369970844459.234"
"2021-06-15","40907.36237843977","759656607906.7339","370071487863.4599"
"2021-06-14","40873.9818750922","732537021478.2985","369751146330.30597"
"2021-06-13","39017.91565483727","665917202546.0479","369002502758.56036"
"2021-06-12","35550.80929724488","699590312530.5552","368653643238.28815"
"2021-06-11","37333.37691896241","687483766307.2135","368828960250.398"
"2021-06-10","36690.323114697174","699896157962.2153","368647767373.5506"
"2021-06-09","37400.096168676726","625968163785.3284","368893674141.823"
"2021-06-08","33407.06356977614","629013709483.3801","367909798406.5192"
"2021-06-07","33573.46144385185","671111008701.4454","368831517949.27167"
"2021-06-06","35804.81273112408","665788443515.7977","369529847242.88074"
"2021-06-05","35624.25609135742","690600459606.767","369684734648.65295"
"2021-06-04","36852.26504079952","734650383763.0416","369993521743.56635"
"2021-06-03","39244.866974509605","703758738908.8802","370519272605.43677"
"2021-06-02","37573.700328814615","687031811483.7584","369953785665.6734"
"2021-06-01","36685.06845181184","698717993544.9324","370070206224.8781"
"2021-05-31","37272.78843590763","668396216056.1562","369755976339.5215"
"2021-05-30","35663.40484398605","648360589400.4713","369647225211.57294"
"2021-05-29","34622.56632803733","670096845313.2863","369292505799.3351"
"2021-05-28","35763.56564673959","720308940058.6031","369643882381.39374"
"2021-05-27","38554.13093767925","735751181997.6979","370391733817.2277"
"2021-05-26","39295.80572016091","718461696225.6656","370764284249.47064"
"2021-05-25","38372.10427418958","727634998351.5497","370532083707.57465"
"2021-05-24","38849.53360495075","650663557020.7952","371054814982.0468"
"2021-05-23","34804.38325924059","702179000765.7968","370037956980.9358"
"2021-05-22","37489.5696462923","698470480816.7897","370490270948.8922"
"2021-05-21","37328.644785308745","765931595570.0247","371156757566.43335"
"2021-05-20","40691.865101509014","691639622744.9562","372087739089.48425"
"2021-05-19","36759.91033161227","805315156405.5155","372931915911.8307"
"2021-05-18","42993.181138716915","815462237997.3184","375613200715.10657"
"2021-05-17","43671.666711900696","870317009399.9409","376036566265.45435"
"2021-05-16","46473.78117234264","875650572022.9056","377064455456.9905"
"2021-05-15","46939.23535821919","933979757301.1462","377198415614.8186"
"2021-05-14","49890.59561161027","930244614582.9371","377301635632.65826"
"2021-05-13","49902.26759250362","917550956532.2861","377163285167.0879"
"2021-05-12","49504.03617725971","1062020662779.929","377111927258.7904"
"2021-05-11","56749.686911051605","1045323615575.8202","376512255675.3784"
"2021-05-10","56027.288071570045","1091152321717.292","375879191848.9247"
"2021-05-09","58301.81373587246","1102880628985.052","375349580900.92456"
"2021-05-08","58944.24775327365","1073504313550.1512","374449133075.6927"
"2021-05-07","57363.208533869605","1055939879885.9125","373787340736.4379"
"2021-05-06","56433.33124978601","1075837725685.0984","371500873809.4979"
"2021-05-05","57502.298880264585","995907839099.5148","369683733187.3019"
"2021-05-04","53237.45977412949","1069741580067.6587","368431007313.0438"
